3 1644
-0.351075 -0.21367 0.011978
-0.351071 -0.150809 0.0119712
-0.351064 -0.0859629 0.0119596
-0.351056 -0.0284983 0.0119451
-0.351044 0.0379423 0.0119278
-0.351034 0.118259 0.0119136
-0.351031 0.18478 0.0119131
-0.277851 -0.213665 0.0119929
-0.203691 -0.213654 0.0120364
-0.152447 -0.213648 0.0120723
-0.107806 -0.213641 0.0121109
-0.0691676 -0.21363 0.0121531
-0.0690501 -0.213623 0.115937
-0.0687882 -0.213623 0.264829
0.0649662 -0.213561 0.265172
0.176204 -0.213439 0.265418
0.261004 -0.213338 0.265542
0.313546 -0.213285 0.265587
0.357487 -0.213257 0.265607
0.391657 -0.213251 0.265612
-0.27417 0.184773 0.0119185
-0.182301 0.184752 0.0119395
-0.10295 0.184726 0.0119394
-0.0395868 0.184705 0.0119291
0.0204003 0.184685 0.0119173
0.0703051 0.184671 0.01191
0.109985 0.184666 0.0119081
0.391657 -0.183705 0.265612
0.391656 -0.157226 0.265612
0.391657 -0.133906 0.265612
-0.280667 -0.0308144 0.011957
-0.231885 -0.0578673 0.0119858
-0.194968 -0.0813554 0.0120072
-0.175768 -0.103953 0.0120233
-0.0691446 -0.13318 0.0327563
-0.0690984 -0.133254 0.0779396
-0.0690194 -0.133309 0.131479
-0.0687723 -0.133361 0.264843
0.0559337 -0.133436 0.265147
0.165403 -0.133606 0.265396
0.238235 -0.133746 0.265513
0.295019 -0.133836 0.265573
0.337718 -0.133884 0.265599
0.368892 -0.133902 0.265609
0.391656 -0.133908 0.252837
0.391654 -0.133912 0.239521
0.0670046 -0.0857261 0.0118735
0.0818185 -0.13341 0.011851
0.0983464 -0.133464 0.0393868
0.111035 -0.133501 0.0667284
0.127183 -0.133542 0.101169
0.154261 -0.133599 0.145208
0.203197 -0.133693 0.181948
0.255945 -0.133788 0.206624
0.301644 -0.133854 0.223594
0.342569 -0.133893 0.234942
0.370711 -0.133908 0.238324
0.109993 0.134824 0.0119065
0.110022 0.0777204 0.0119012
0.110057 0.0300253 0.0118936
0.110088 -0.0089756 0.0118833
0.110113 -0.048042 0.0118664
0.110123 -0.0887768 0.0118185
0.142591 -0.0888081 0.011741
0.179712 -0.0888683 0.0116755
0.230729 -0.0889644 0.0115999
0.295539 -0.0890717 0.0115311
0.353706 -0.0891275 0.0114981
0.391574 -0.089142 0.0114955
0.391577 -0.115102 0.0114951
0.391582 -0.134354 0.0114955
0.344523 -0.134288 0.0115032
0.289136 -0.134139 0.0115377
0.220508 -0.133896 0.0116131
0.158509 -0.133663 0.0117064
0.118955 -0.133522 0.011776
-0.351026 0.184779 -0.05888
-0.351022 0.184775 -0.12958
0.109983 0.184663 -0.016533
0.109978 0.184656 -0.0456828
-0.251745 0.184759 -0.129575
-0.180703 0.184733 -0.129588
-0.180656 0.184702 -0.19684
-0.180632 0.184681 -0.266563
-0.180626 0.18467 -0.322441
-0.180623 0.184665 -0.363557
-0.180619 0.184663 -0.390756
-0.180612 0.184663 -0.417085
-0.151604 0.184662 -0.417092
-0.123966 0.184661 -0.417096
-0.0908443 0.184659 -0.417099
-0.0589395 0.184657 -0.4171
-0.0371405 0.184657 -0.4171
-0.0213562 0.184656 -0.417099
0.00324703 0.184656 -0.417095
0.00325236 0.184656 -0.397936
0.00325864 0.184656 -0.38058
0.00326918 0.184656 -0.357737
0.00328715 0.184656 -0.326809
0.181649 0.184634 -0.184278
0.181649 0.184633 -0.137399
0.18165 0.184633 -0.0895791
0.181651 0.184636 -0.0456853
0.140458 0.18464 -0.18428
0.102243 0.184649 -0.184283
0.10225 0.184648 -0.242248
0.10224 0.184647 -0.290483
0.102231 0.184647 -0.326805
0.137519 0.184644 -0.0456845
0.0541532 0.18465 -0.326807
-0.351076 -0.213665 -0.0605538
-0.351074 -0.213663 -0.129683
-0.351025 0.1107 -0.129588
-0.351041 0.0173958 -0.129617
-0.351059 -0.0616008 -0.12965
-0.35107 -0.134438 -0.129673
0.391653 -0.213243 0.232987
0.391645 -0.213221 0.200498
0.391629 -0.213173 0.153411
0.391609 -0.213089 0.0934323
0.391594 -0.213018 0.0418953
0.391586 -0.213002 0.00478196
0.391578 -0.213037 -0.0349902
0.391568 -0.213074 -0.0892627
0.391559 -0.213081 -0.160513
0.391553 -0.213055 -0.224717
0.39155 -0.213031 -0.270017
0.391548 -0.213019 -0.301989
0.391547 -0.213016 -0.326713
0.391649 -0.133928 0.217691
0.391642 -0.133954 0.194791
0.391633 -0.133996 0.168031
0.391617 -0.134082 0.124972
0.3916 -0.134199 0.0757473
0.391589 -0.134296 0.0374187
0.391555 -0.122513 -0.184253
0.39155 -0.122515 -0.239517
0.391548 -0.122523 -0.289896
0.391547 -0.122527 -0.32671
0.391552 -0.0788346 -0.184256
0.391549 -0.0346221 -0.184257
0.391547 -0.168556 -0.326711
0.391548 -0.0346208 -0.143105
0.39155 -0.0346145 -0.0980973
0.391555 -0.0346083 -0.0457311
0.391559 -0.0709708 -0.0457301
0.391564 -0.0891673 -0.0457266
0.39157 -0.0891516 -0.0177572
0.102242 0.146646 -0.326805
0.102274 0.10226 -0.326802
0.102327 0.0563444 -0.326796
0.102419 -0.00496757 -0.326786
0.102491 -0.0591858 -0.326775
0.102537 -0.122055 -0.326759
0.151787 -0.122126 -0.326738
0.220433 -0.12227 -0.326723
0.2908 -0.122421 -0.326715
0.352614 -0.12251 -0.326711
0.00328278 0.149808 -0.326809
0.00326385 0.110284 -0.326808
0.00322863 0.0723454 -0.326804
0.00319791 0.0409205 -0.3268
0.00316142 0.00993791 -0.326796
0.00312595 -0.02092 -0.326791
0.00308763 -0.0586296 -0.326785
0.00305509 -0.0962202 -0.32678
0.00303121 -0.138083 -0.326777
0.00301721 -0.179732 -0.326776
0.00301349 -0.213472 -0.326777
0.0275524 -0.213462 -0.326773
0.0571305 -0.213444 -0.326766
0.0955885 -0.213411 -0.326756
0.147073 -0.213348 -0.326742
0.211701 -0.213242 -0.326728
0.273581 -0.213132 -0.32672
0.324352 -0.213059 -0.326716
0.360912 -0.213025 -0.326714
0.109981 0.147827 -0.0456836
0.109999 0.104084 -0.0456828
0.110039 0.0473719 -0.0456833
0.110079 -0.000778126 -0.0456859
0.110113 -0.039297 -0.0456889
0.110139 -0.0887388 -0.0456926
0.140464 -0.0887892 -0.045697
0.175613 -0.0888625 -0.0457051
0.229504 -0.0889775 -0.0457207
0.298163 -0.0890978 -0.0457325
0.351587 -0.089153 -0.0457312
-0.267209 -0.213653 -0.129698
-0.180773 -0.213603 -0.129746
-0.180721 -0.213533 -0.207805
-0.180692 -0.213501 -0.274751
-0.180679 -0.213487 -0.322271
-0.180672 -0.21348 -0.356872
-0.180668 -0.213477 -0.380924
-0.180663 -0.213476 -0.398607
-0.180659 -0.213475 -0.417107
-0.16559 -0.213475 -0.417111
-0.148601 -0.213475 -0.417113
-0.127847 -0.213475 -0.417116
-0.0999388 -0.213474 -0.417117
-0.0657075 -0.213473 -0.417117
-0.0324717 -0.213473 -0.417115
0.0030162 -0.213473 -0.417109
0.0030222 -0.213473 -0.399697
0.00302389 -0.213474 -0.382575
0.00302177 -0.213474 -0.360258
0.0032422 0.151674 -0.417094
0.00323366 0.130474 -0.417093
0.0032225 0.107586 -0.417094
0.00320516 0.0822201 -0.417093
0.00318578 0.056565 -0.417093
0.00316806 0.0347504 -0.417094
0.0031476 0.0122436 -0.417095
0.00312879 -0.00801461 -0.417099
0.00311117 -0.0255406 -0.4171
0.0030932 -0.0481066 -0.417102
0.00307496 -0.0716372 -0.417103
0.0030576 -0.0979204 -0.417105
0.0030426 -0.124333 -0.417105
0.00303221 -0.149655 -0.417107
0.10228 0.109298 -0.184273
0.102368 0.0403885 -0.184269
0.102484 -0.0270383 -0.184265
0.102676 -0.121933 -0.18425
0.179523 -0.122126 -0.184258
0.26886 -0.122353 -0.184253
0.333956 -0.122471 -0.184251
0.181645 0.110978 -0.184273
0.18164 0.0199077 -0.184269
0.181635 -0.0346411 -0.184266
0.251923 -0.0346298 -0.184261
0.330796 -0.0346234 -0.184257
0.181648 0.103958 -0.0456874
0.181649 0.0356399 -0.0456907
0.181654 -0.0128966 -0.0456972
0.181659 -0.0346101 -0.0457032
0.240466 -0.0346055 -0.0457255
0.317825 -0.0346044 -0.0457369
-0.272273 0.0502412 0.0119337
-0.181936 -0.183186 0.0120475
-0.0691646 -0.184208 0.0121237
-0.237207 0.116504 0.0119286
-0.142474 0.10916 0.0119445
-0.0689165 0.126481 0.0119352
0.040708 0.155374 0.0119131
0.0766699 0.14686 0.011908
0.361682 -0.168898 0.265608
-0.289618 -0.074719 0.011967
-0.19886 -0.0429433 0.0119843
-0.236731 -0.099123 0.0119964
-0.161926 -0.121897 0.0120361
-0.120242 -0.132203 0.0120586
-0.102185 -0.135363 0.0120536
-0.0834834 -0.13836 0.0120551
-0.0691506 -0.13316 0.012052
-0.0503527 -0.133218 0.0493224
-0.010232 -0.133333 0.130087
0.0550713 -0.107365 0.0118866
0.0603361 -0.13336 0.0118824
0.0708384 -0.133389 0.0231046
0.0810294 -0.133421 0.0398631
0.107675 -0.133505 0.18288
0.0757219 0.103093 0.0119051
0.0787751 0.0544884 0.0118997
0.0865204 0.00977413 0.0118908
0.0894557 -0.0321364 0.0118776
0.078488 -0.0829356 0.0118616
0.0923514 -0.0730043 0.0118526
0.110702 -0.10097 0.0118076
0.142188 -0.109471 0.0117392
0.0958966 -0.112087 0.0118269
0.0884031 -0.0962758 0.0118439
-0.290636 -0.129409 0.0119795
-0.115021 -0.173881 0.0120871
-0.0691208 -0.174277 0.0621761
-0.00498003 0.140392 0.0119213
-0.171036 -0.0732261 0.0120054
-0.231604 -0.000470841 0.0119577
-0.19276 -0.113956 0.0120207
-0.139624 -0.129213 0.012048
0.0755299 -0.0618608 0.0118707
-0.0642337 -0.133154 0.0197298
-0.0353902 -0.133275 0.0853661
0.0567598 -0.0618276 0.0118864
0.0293852 -0.133391 0.178791
0.0451556 -0.0841964 0.0118964
0.0824296 -0.133434 0.0674154
0.113957 -0.116868 0.0117921
-0.176466 -0.148636 0.0120411
-0.0233919 -0.133229 0.0348775
-0.098311 -0.162009 0.0120868
-0.136636 0.0333157 0.011957
-0.143877 -0.150357 0.0120585
-0.177711 -0.000456191 0.0119678
-0.227455 -0.154938 0.0120151
-0.125072 -0.0733481 0.0120053
-0.14813 -0.0627757 0.0119998
-0.0892621 -0.149079 0.0120738
0.0678471 -0.0394972 0.0118838
-0.0489938 -0.133174 0.0217389
-0.201113 0.0529249 0.011948
0.0357581 0.115707 0.0119123
0.0492066 -0.133346 0.0298753
0.0613188 -0.133385 0.0539335
0.0855357 -0.133454 0.11442
-0.168012 -0.0370692 0.0119841
0.0384823 0.0704583 0.0119095
0.052915 0.0283369 0.0119023
0.065658 -0.00919881 0.0118918
-0.123249 -0.149862 0.0120679
-0.107524 -0.146649 0.0120685
-0.0153792 0.0807017 0.0119236
-0.0691592 -0.163921 0.0121053
-0.0691418 -0.149718 0.0376692
-0.0691521 -0.146692 0.0120745
0.0476883 -0.0333461 0.0118962
0.000219657 -0.133287 0.0598941
0.0340697 -0.0596947 0.0119046
0.0351387 -0.107278 0.0119104
0.0419105 -0.133322 0.0119074
-0.144438 -0.180025 0.012071
-0.00230114 -0.133246 0.0119584
0.021269 -0.0845753 0.0119194
0.0312028 -0.133336 0.0662238
0.0469235 -0.133384 0.102889
